QFN50P500X500X90-33M  expected values  (all mm, TOP view, origin = package centre)
  perimeter land : 0.25 x 0.95   centre r=2.525   inner 2.05  outer 3.00
  paste land     : 0.25 x 0.7   local offset +0.125 (toward centre), lands at r=2.40
  thermal land   : 3.6 x 3.6   paste = 3x3 windows 1.0x1.0 @1.3  -> 69.4%
  toe beyond body: 0.500  (>=0.50 OK)
  pad gap        : 0.250  (>=0.20 OK)
  place bound    : +/-3.10 filled
  silk corner    : body 2.50, ends at +/-1.975
  refdes         : (-2.70, 3.35) textblock 21 left

pin        x        y  rot   pasteX   pasteY
  1   -1.750   -2.525    0   -1.750   -2.400
  2   -1.250   -2.525    0   -1.250   -2.400
  3   -0.750   -2.525    0   -0.750   -2.400
  4   -0.250   -2.525    0   -0.250   -2.400
  5    0.250   -2.525    0    0.250   -2.400
  6    0.750   -2.525    0    0.750   -2.400
  7    1.250   -2.525    0    1.250   -2.400
  8    1.750   -2.525    0    1.750   -2.400
  9    2.525   -1.750   90    2.400   -1.750
 10    2.525   -1.250   90    2.400   -1.250
 11    2.525   -0.750   90    2.400   -0.750
 12    2.525   -0.250   90    2.400   -0.250
 13    2.525    0.250   90    2.400    0.250
 14    2.525    0.750   90    2.400    0.750
 15    2.525    1.250   90    2.400    1.250
 16    2.525    1.750   90    2.400    1.750
 17    1.750    2.525  180    1.750    2.400
 18    1.250    2.525  180    1.250    2.400
 19    0.750    2.525  180    0.750    2.400
 20    0.250    2.525  180    0.250    2.400
 21   -0.250    2.525  180   -0.250    2.400
 22   -0.750    2.525  180   -0.750    2.400
 23   -1.250    2.525  180   -1.250    2.400
 24   -1.750    2.525  180   -1.750    2.400
 25   -2.525    1.750  270   -2.400    1.750
 26   -2.525    1.250  270   -2.400    1.250
 27   -2.525    0.750  270   -2.400    0.750
 28   -2.525    0.250  270   -2.400    0.250
 29   -2.525   -0.250  270   -2.400   -0.250
 30   -2.525   -0.750  270   -2.400   -0.750
 31   -2.525   -1.250  270   -2.400   -1.250
 32   -2.525   -1.750  270   -2.400   -1.750
 33    0.000    0.000    0    0.000    0.000
