layer,pair,required_mm,actual_mm,x_mm,y_mm,net_a,net_b,ref_a,ref_b
L2,PRI-PE,1.8,0.199,105.0,183.9,GND,N17817694,C69,C69
BOTTOM,PRI-HAZ,8.0,0.199,248.4,223.5,GND,AC_L_IN,R228,R228
TOP,PRI-PE,1.8,0.2,142.3,236.5,GND,N17817694,J24,J24
L3,PRI-PE,1.8,0.2,137.0,238.8,VCC_5V0,N17817694,J24,J24
BOTTOM,PRI-PE,1.8,0.519,118.3,229.8,GND,N17817694,C119,C119
TOP,PRI-PE,1.8,0.59,105.4,202.0,ADC_V_PA2,N17817694,C64,C64
BOTTOM,PRI-PE,1.8,0.606,103.6,211.0,ADC_I_GRID_LK,N17817694,D34,D34
BOTTOM,PRI-PE,1.8,0.65,108.2,219.6,N17871994,N17817694,D34,D34
TOP,PRI-HAZ,8.0,0.686,245.2,187.9,GND,V_GRID_N,C142,C142
TOP,PRI-PE,1.8,0.75,106.5,209.8,ADC_I_GRID_P,N17817694,C74,C74
L3,PRI-PE,1.8,1.005,105.8,184.3,ADC_V_PA1,N17817694,C69,C69
BOTTOM,PRI-HAZ,8.0,1.15,241.5,180.4,GND,I_GRID_N,R189,R189
BOTTOM,PRI-HAZ,8.0,1.159,241.5,164.2,GND,I_GRID_N,Q12,Q12
L3,PRI-PE,1.8,1.196,107.2,207.2,ADC_I_GRID_LK,N17817694,C64,C64
L3,PRI-HAZ,8.0,1.226,240.3,179.5,GND,VCC_12V0,R189,R189
BOTTOM,PRI-PE,1.8,1.314,118.7,223.6,N17871994,N17817694,U15,C119
L2,PRI-HAZ,8.0,1.655,190.6,166.8,N17850185,PGND,C47,C47
L2,PRI-HAZ,8.0,1.655,203.8,166.8,N17849058,PGND,C46,C46
BOTTOM,PRI-HAZ,8.0,1.655,203.8,166.8,N17849058,PHV,C46,C46
BOTTOM,PRI-HAZ,8.0,1.655,190.6,166.8,N17850185,PHV,C47,C47
BOTTOM,PRI-HAZ,8.0,1.733,213.2,166.8,GND,PHV,R82,R188
BOTTOM,PRI-HAZ,8.0,1.75,197.8,166.8,GND,PHV,R83,R83
TOP,PRI-HAZ,8.0,1.9,246.3,196.6,GND,I_GRID_N,C142,C142
BOTTOM,PRI-HAZ,8.0,2.406,236.8,223.9,ADC_V_GRID_N,AC_N_IN,R219,R219
BOTTOM,PRI-HAZ,8.0,2.748,221.3,163.4,GND,N17956466,R188,R188
L3,HAZ-PE,4.0,2.783,180.0,25.4,N17838172,I_GRID_LK,RV2,RV2
L3,HAZ-PE,4.0,3.012,221.4,100.5,N17836870,GND_EARTH,C57,C57
BOTTOM,HAZ-PE,4.0,3.012,221.4,100.5,N17836870,GND_EARTH,C57,C57
TOP,PRI-HAZ,8.0,3.15,239.5,179.7,GND,N17957555,R189,R189
BOTTOM,HAZ-PE,4.0,3.155,228.3,51.2,V_GRID_N,I_GRID_LK,C48,C48
L3,HAZ-PE,4.0,3.2,179.3,34.2,N17838172,I_GRID_LK,C53,C53
L3,HAZ-PE,4.0,3.207,193.4,34.2,N17838031,I_GRID_LK,C53,C53
L2,PRI-HAZ,8.0,3.429,240.6,180.7,GND,I_GRID_N,R189,C155
L2,HAZ-PE,4.0,3.7,231.0,27.8,N17838031,GND_EARTH,RV4,RV4
TOP,PRI-HAZ,8.0,3.95,225.2,206.0,GND,PGND,ISO1,ISO1
BOTTOM,PRI-HAZ,8.0,4.05,243.5,214.5,GND,AC_N_IN,C145,R179
BOTTOM,PRI-HAZ,8.0,4.1,248.2,229.8,N18000920,AC_L_IN,R228,R228
L3,PRI-HAZ,8.0,4.155,203.8,166.8,N17849058,VCC_12V0,C46,C46
BOTTOM,PRI-HAZ,8.0,4.3,211.0,160.0,GND,N17957555,R82,R201
BOTTOM,PRI-HAZ,8.0,4.501,200.7,160.0,GND,N17957555,R83,R200
TOP,PRI-HAZ,8.0,4.905,203.2,166.3,N17849058,AC_N,C46,R83
BOTTOM,PRI-HAZ,8.0,4.954,241.3,230.7,N17987925,AC_N_IN,R219,R219
TOP,PRI-HAZ,8.0,5.155,191.1,166.3,N17850185,AC_N,C47,R83
BOTTOM,PRI-HAZ,8.0,6.571,236.6,217.6,ADC_V_GRID_N,AC_N_IN,C203,R219
TOP,PRI-HAZ,8.0,7.6,217.3,207.9,GND,PGND,ISO4,ISO1
TOP,PRI-HAZ,8.0,7.7,210.5,207.8,N17848729,N17848960,ISO2,ISO2
TOP,PRI-HAZ,8.0,7.7,201.5,207.8,N17850101,N17850103,ISO3,ISO3
L2,PRI-HAZ,8.0,7.75,225.0,208.0,GND,PGND,ISO1,ISO1
BOTTOM,PRI-HAZ,8.0,7.9,217.3,207.9,GND,PGND,ISO4,ISO4
